CODIGO MUNICIPIO,NOME ESTACAO,LATITUDE,LONGITUDE
3105608,barbacena,-21.22833332,-43.76777777
3168705,timoteo,-19.57388888,-42.62249999
3145901,ouro branco,-20.55666666,-43.75611111
3162500,sao joao del rei,-21.106502,-44.250928
3106200,pampulha,-19.88388888,-43.96944443
3128006,guanhaes,-18.78694444,-42.94305555
3126000,florestal,-19.88527777,-44.41694443
3123205,dores do indaia,-19.481935,-45.593932
3120904,curvelo,-18.747711,-44.453785
3129806,ibirite,-20.031457,-44.011249
3139409,manhuacu,-20.26333333,-42.18277777
3122306,divinopolis,-20.17333332,-44.87499999
3167202,sete lagoas,-19.45527777,-44.17333332
3145604,oliveira,-20.715,-44.86444444
3106200,cercadinho,-19.97999999,-43.95861111
